Edição,Data
231,23/12/2022
230,22/12/2022
229,21/12/2022
228,20/12/2022
227,19/12/2022
226,16/12/2022
225,15/12/2022
224,14/12/2022
223,13/12/2022
222,12/12/2022
221,07/12/2022
220,06/12/2022
219,05/12/2022
218,02/12/2022
217,01/12/2022
216,30/11/2022
215,29/11/2022
214,28/11/2022
213,25/11/2022
212,24/11/2022
211,23/11/2022
210,22/11/2022
209,21/11/2022
208,18/11/2022
207,17/11/2022
206,16/11/2022
205,11/11/2022
204,10/11/2022
203,09/11/2022
202,08/11/2022
201,07/11/2022
200,04/11/2022
199,03/11/2022
198,28/10/2022
197,27/10/2022
196,26/10/2022
195,25/10/2022
194,24/10/2022
193,21/10/2022
192,20/10/2022
191,19/10/2022
190,18/10/2022
189,17/10/2022
188,14/10/2022
187,13/10/2022
186,11/10/2022
185,10/10/2022
184,07/10/2022
183,06/10/2022
182,05/10/2022
181,04/10/2022
180,03/10/2022
179,30/09/2022
178,29/09/2022
177,28/09/2022
176,27/09/2022
175,26/09/2022
174,23/09/2022
173,22/09/2022
172,21/09/2022
171,20/09/2022
170,19/09/2022
169,16/09/2022
168,15/09/2022
167,14/09/2022
166,13/09/2022
165,12/09/2022
164,09/09/2022
163,08/09/2022
162,06/09/2022
161,05/09/2022
160,02/09/2022
159,01/09/2022
158,31/08/2022
157,30/08/2022
156,29/08/2022
155,26/08/2022
154,25/08/2022
153,24/08/2022
152,23/08/2022
151,22/08/2022
150,19/08/2022
149,18/08/2022
148,17/08/2022
147,16/08/2022
146,15/08/2022
145,11/08/2022
144,10/08/2022
143,09/08/2022
142,08/08/2022
141,05/08/2022
140,04/08/2022
139,03/08/2022
138,02/08/2022
137,01/08/2022
136,29/07/2022
135,28/07/2022
134,27/07/2022
133,26/07/2022
132,25/07/2022
131,22/07/2022
130,21/07/2022
129,20/07/2022
128,19/07/2022
127,18/07/2022
126,15/07/2022
125,14/07/2022
124,13/07/2022
123,12/07/2022
122,11/07/2022
121,08/07/2022
120,07/07/2022
119,06/07/2022
118,05/07/2022
117,04/07/2022
116,01/07/2022
115,22/06/2022
114,21/06/2022
113,20/06/2022
112,16/06/2022
111,15/06/2022
110,14/06/2022
109,13/06/2022
108,10/06/2022
107,09/06/2022
106,08/06/2022
105,07/06/2022
104,06/06/2022
103,03/06/2022
102,02/06/2022
101,01/06/2022
100,31/05/2022
99,30/05/2022
98,27/05/2022
97,26/05/2022
96,25/05/2022
95,24/05/2022
94,23/05/2022
93,20/05/2022
92,19/05/2022
91,18/05/2022
90,17/05/2022
89,16/05/2022
88,13/05/2022
87,12/05/2022
86,11/05/2022
85,10/05/2022
84,09/05/2022
83,06/05/2022
82,05/05/2022
81,04/05/2022
80,03/05/2022
79,02/05/2022
78,29/04/2022
77,28/04/2022
76,27/04/2022
75,26/04/2022
74,25/04/2022
73,20/04/2022
72,19/04/2022
71,18/04/2022
70,13/04/2022
69,12/04/2022
68,11/04/2022
67,08/04/2022
66,07/04/2022
65,06/04/2022
64,05/04/2022
63,04/04/2022
62,01/04/2022
61,31/03/2022
60,30/03/2022
59,29/03/2022
58,28/03/2022
57,25/03/2022
56,24/03/2022
55,23/03/2022
54,22/03/2022
53,21/03/2022
52,18/03/2022
51,17/03/2022
50,16/03/2022
49,15/03/2022
48,14/03/2022
47,11/03/2022
46,10/03/2022
45,09/03/2022
44,08/03/2022
43,07/03/2022
42,04/03/2022
41,03/03/2022
40,25/02/2022
39,24/02/2022
38,23/02/2022
37,22/02/2022
36,21/02/2022
35,18/02/2022
34,17/02/2022
33,16/02/2022
32,15/02/2022
31,14/02/2022
30,11/02/2022
29,10/02/2022
28,09/02/2022
27,08/02/2022
26,07/02/2022
25,04/02/2022
24,03/02/2022
23,02/02/2022
22,01/02/2022
21,31/01/2022
20,28/01/2022
19,27/01/2022
18,26/01/2022
17,25/01/2022
16,24/01/2022
15,21/01/2022
14,20/01/2022
13,19/01/2022
12,18/01/2022
11,17/01/2022
10,14/01/2022
9,13/01/2022
8,12/01/2022
7,11/01/2022
6,10/01/2022
5,07/01/2022
4,06/01/2022
3,05/01/2022
2,04/01/2022
1,03/01/2022